CHG CODE,CHG CODE DESC,PRICE,AS OF DATE
26,RECOVERY ROOM 0-60 M,447,3/26/2020
34,R.R.02 02MASK       ,26,3/26/2020
42,"ABDOMEN, 1 VIEW     ",300,3/26/2020
59,"ABDOMEN, 2 VIEW     ",350,3/26/2020
67,"CHOLANGIOGRAM, OPERA",800,3/26/2020
83,CHOLANGIOGRAM T-TUBE,545,3/26/2020
91,"COLON, BARIUM ENEMA ",800,3/26/2020
109,"COLON, W/DOUBLE AIR ",1100,3/26/2020
133,ESOPHAGUS W/FLUORO  ,800,3/26/2020
182,SMALL BOWEL SERIES  ,750,3/26/2020
190,UGI W/KUB           ,850,3/26/2020
257,"CHEST, 1 VIEW       ",250,3/26/2020
265,"CHEST, 2 VIEWS      ",375,3/26/2020
299,RIBS LT 2 V         ,450,3/26/2020
307,CATECHOLAMIN-TOTAL  ,173,3/26/2020
315,STERNUM  MIN 2VW    ,475,3/26/2020
323,STERNO-CLAV LT JTS  ,250,3/26/2020
331,CLAVICLE LT 2 VIEWS ,300,3/26/2020
356,XR ELBOW MIN 3V LEFT,300,3/26/2020
398,FOREARM LT 2 VW     ,300,3/26/2020
414,XR HAND 3 VWS LEFT  ,300,3/26/2020
422,"HAPTOGLOBIN, SER    ",37,3/26/2020
448,HUMERUS LT MIN 2V   ,400,3/26/2020
455,OSMOLALITY CLEAR    ,23,3/26/2020
471,SCAPULA LT 2 VW     ,375,3/26/2020
489,SHOULDER LT 1 VW    ,250,3/26/2020
497,SHOULDER LT MIN 2V  ,400,3/26/2020
513,WRIST LT MIN 3 VW   ,300,3/26/2020
521,RUBELLA TITER       ,90,3/26/2020
539,XR ANKLE 3 VW LEFT  ,300,3/26/2020
547,SGPT-(ALT)          ,125,3/26/2020
562,FEMUR LT 1 VIEW     ,300,3/26/2020
570,FEMUR LT 2 VIEWS    ,350,3/26/2020
596,XR FOOT 3 VWS LEFT  ,300,3/26/2020
604,CEA                 ,314,3/26/2020
612,HIP LT MIN 1 V      ,300,3/26/2020
620,HIP JOINT LEFT MIN 2,350,3/26/2020
638,CHOLINESTERASE      ,106,3/26/2020
653,HIP NAL LT OR-COMPL ,1200,3/26/2020
661,"CORTISOL, PLASMA    ",120,3/26/2020
679,KNEE LT 2 VW        ,300,3/26/2020
695,LEG LT 2VW TIBIA FIB,350,3/26/2020
703,B SURF. ANTIBODY    ,114,3/26/2020
745,BONE AGE-BILA-HAN-WR,500,3/26/2020
752,CALCANEOUS LT MIN 2V,400,3/26/2020
760,SPLINT WAST FOARM PL,29,3/26/2020
778,CYSTOGRAM           ,800,3/26/2020
786,"PYELOGRAM, RETROGRAD",1400,3/26/2020
794,CYSTOGRAM / VOIDING ,800,3/26/2020
802,EYE-FOREIGN BODY    ,300,3/26/2020
810,EYE-OPTIC FORAMINA  ,300,3/26/2020
828,FACIAL BONES  MIN 3 ,450,3/26/2020
844,MANDIBLE  MIN 4 V   ,450,3/26/2020
869,WALKER              ,125,3/26/2020
877,MASTOID MIN 3V/SIDE ,750,3/26/2020
885,IV CATH INTRA 16G W/,13,3/26/2020
893,NASAL BONES MIN 3 V ,300,3/26/2020
919,SINUSES MIN 3 V     ,450,3/26/2020
927,"SKULL, 4 VIEWS      ",600,3/26/2020
935,"SKULL, <4 VIEWS     ",360,3/26/2020
950,T-M TEMPROMAND JTS  ,350,3/26/2020
968,ZYGOMA MIN 3V       ,500,3/26/2020
984,CERVICAL SPINE ODON ,800,3/26/2020
992,T-SPINE 2V          ,400,3/26/2020
1016,L SPINE MIN 4 V     ,500,3/26/2020
1032,LUMB/-SACRAL SPINE  ,825,3/26/2020
1065,PELVIS 1-2 V        ,350,3/26/2020
1081,SI JOINTS MIN 3V    ,350,3/26/2020
1107,SACRUM & COCCYX 2 V ,500,3/26/2020
1156,NEEDLE SPINAL 22X3.5,10,3/26/2020
1164,FLUORO <1 HR C-ARM  ,700,3/26/2020
1198,ORBITS MIN 4 V      ,450,3/26/2020
1214,CAST SHORT ARM CHILD,23,3/26/2020
1222,BULB SYRINGE EAR    ,23,3/26/2020
1230,SPLINT THUMB LENIN  ,36,3/26/2020
1263,THERM. KIT-ORAL     ,9,3/26/2020
1289,DENTURE CUP W/LID   ,3,3/26/2020
1313,"RESTRAINT, LEATHER  ",29,3/26/2020
1321,BAND-AID EX LG      ,3,3/26/2020
1339,"BRACE, ANKLE SM     ",68,3/26/2020
1347,AMNIOFUSION TRAY P/U,33,3/26/2020
1362,CAST LONG ARM CHILD ,32,3/26/2020
1396,"BEDPAN, ORTHOPEDIC  ",9,3/26/2020
1412,LAP SCORE           ,146,3/26/2020
1438,ARM SLING CRADLE CHI,24,3/26/2020
1487,HYSTEROSALPINGIOGRAM,750,3/26/2020
1511,TIME-1-30 MIN.      ,119,3/26/2020
1529,TIME-31-60 MIN.     ,231,3/26/2020
1537,QUANTITY @ ADD 15   ,12,3/26/2020
1545,SPINAL ANESTHESIA   ,64,3/26/2020
1552,LOCAL ANESTHESIA    ,10,3/26/2020
1578,BLOOD FILTERS       ,14,3/26/2020
1586,ANES BREATH CIRCUIT ,33,3/26/2020
1628,ELEC. STIMULATION   ,52,3/26/2020
1636,EXERCISE 0 - 15 MIN ,69,3/26/2020
1644,GAIT TRAINING I EA 1,52,3/26/2020
1693,MASSAGE II          ,102,3/26/2020
1735,TRACTION INTERMITTEN,81,3/26/2020
1750,ULTRASOUND I EA 15 M,40,3/26/2020
1776,CATH AP DAV 8FR     ,6,3/26/2020
1784,TRACTION HANGING    ,378,3/26/2020
1818,MASSAGE I EA 15 MIN ,77,3/26/2020
1842,ELECTROCARDIOGRAM   ,190,3/26/2020
1867,STRESS TEST CC      ,30,3/26/2020
1875,"ACE BAND. 2""        ",9,3/26/2020
1883,"ACE BANDAGE 3"" CS006",10,3/26/2020
1891,"ACE BAND. 4""        ",13,3/26/2020
1909,"ACE BAND. 6""        ",17,3/26/2020
1966,CAST LONG ARM ADULT ,32,3/26/2020
1982,CAST SHORT ARM ADULT,23,3/26/2020
2014,ARM SLING STRAP CHLD,20,3/26/2020
2030,EYE PROTECTOR N/B   ,6,3/26/2020
2048,ASEPTO SYRINGE USE  ,7,3/26/2020
2089,BILIRUBIN THERAPY   ,61,3/26/2020
2105,BLAKEMORE ESOPHAGEAL,523,3/26/2020
2113,CAST SPICA CHILD ER ,102,3/26/2020
2121,TRACT. ARM-HUMEROUS ,44,3/26/2020
2170,TRACTION BUCKS EXT  ,42,3/26/2020
2188,BOVIE PAD ASPEN     ,10,3/26/2020
2196,TRAC STAND-BY       ,10,3/26/2020
2204,UROSTOMY BAGS       ,6,3/26/2020
2212,URETH CATH TRAY     ,14,3/26/2020
2220,CATH BIOCATH FLY    ,30,3/26/2020
2238,MATERNITY KIT       ,41,3/26/2020
2261,TRACTION CERVICAL   ,47,3/26/2020
2279,CIRCUMCISION TRAY PU,36,3/26/2020
2287,"CATHETER, TEXAS     ",4,3/26/2020
2295,METASTATIC BONE SURV,1050,3/26/2020
2311,CATH BIOCATH FLY    ,25,3/26/2020
2329,CLAVICLE SPLINT SMAL,35,3/26/2020
2337,HOSE ANTI EMB KNEE  ,30,3/26/2020
2345,SPLINT COLLES       ,66,3/26/2020
2352,MINI DRIP SET 2C0024,14,3/26/2020
2360,STOMA BAG 1-1 1/21  ,4,3/26/2020
2394,VENIKIT BUTTFLY A S ,4,3/26/2020
2428,CATH TRAY FEMALE    ,17,3/26/2020
2444,URINARY DRAIN BAG   ,12,3/26/2020
2477,ENT IRRIGATION TRAY ,10,3/26/2020
2485,SUTURE WIRE         ,14,3/26/2020
2493,TIME ANES ADD 15 MIN,61,3/26/2020
2501,DELIVERY ROOM       ,356,3/26/2020
