bed_count,zip_cod,ccn,medicare_medicaid_eligible
420,36301,010001,True
240,35957,010005,True
338,35630,010006,True
99,36467,010007,True
65,36049,010008,True
362,35235,010011,True
134,35968,010012,True
252,35007,010016,True
106,35233,010018,True
185,35660,010019,True
89,36360,010021,True
60,35960,010022,True
432,36116,010023,True
344,36106,010024,True
429,36801,010029,True
1157,35233,010033,True
69,36078,010034,True
115,35058,010035,True
88,36420,010036,True
881,35801,010039,True
346,35903,010040,True
57,35570,010044,True
61,35555,010045,True
281,35901,010046,True
131,36330,010049,True
20,35462,010051,True
46,36853,010052,True
235,36305,010055,True
409,35205,010056,True
35,35042,010058,True
98,35650,010059,True
170,35768,010061,True
83,36340,010062,True
81,35010,010065,True
74,36027,010069,True
53,36251,010073,True
323,36207,010078,True
71,35611,010079,True
112,36535,010083,True
457,35601,010085,True
71,35594,010086,True
406,36617,010087,True
267,35502,010089,True
349,36608,010090,True
50,36451,010091,True
787,35401,010092,True
39,36744,010095,True
38,36092,010097,True
65,36426,010099,True
162,36532,010100,True
122,35161,010101,True
30,36726,010102,True
505,35211,010103,True
422,35243,010104,True
85,36067,010108,True
61,36089,010110,True
99,36732,010112,True
669,36607,010113,True
310,35021,010114,True
214,36701,010118,True
94,36460,010120,True
49,35565,010125,True
97,36081,010126,True
35,36545,010128,True
78,36507,010129,True
40,35125,010130,True
147,35801,010131,True
33,36925,010138,True
595,35209,010139,True
263,36608,010144,True
44,36401,010148,True
150,36117,010149,True
72,36037,010150,True
198,35661,010157,True
100,35653,010158,True
168,35150,010164,True
70,36867,010168,True
49,36502,010169,True
30,35045,010173,True
29,36784,010174,True
115,36854,010175,True
1,36608,010176,True
285,36109,01019,False
928,35404,01021,False
1436,36083,01022,False
25,36518,011300,True
25,35582,011302,True
25,36904,011304,True
25,35121,011305,True
15,36278,011306,True
22,36607,012006,True
38,35209,012008,True
45,35235,012009,True
35,36302,012010,True
38,36202,012011,True
32,35401,012012,True
31,35611,012014,True
100,35209,013025,True
70,36116,013028,True
70,35811,013029,True
51,36301,013030,True
34,35124,013031,True
44,35903,013032,True
58,36867,013033,True
332,35233,013300,True
152,36604,013301,True
94,35212,014000,True
68,35902,014006,True
268,35401,014007,True
96,35401,014012,True
24,36301,014013,True
60,36693,014014,True
28,36049,014015,True
40,35055,014016,True
66,36526,014017,True
20,35806,014018,True
