bed_count,zip_cod,ccn,medicare_medicaid_eligible
420,36301,010001,True
240,35957,010005,True
338,35630,010006,True
362,35235,010011,True
134,35968,010012,True
106,35233,010018,True
185,35660,010019,True
89,36360,010021,True
432,36116,010023,True
344,36106,010024,True
429,36801,010029,True
1157,35233,010033,True
69,36078,010034,True
115,35058,010035,True
88,36420,010036,True
881,35801,010039,True
346,35903,010040,True
61,35555,010045,True
131,36330,010049,True
235,36305,010055,True
409,35205,010056,True
35,35042,010058,True
98,35650,010059,True
83,36340,010062,True
81,35010,010065,True
71,35611,010079,True
112,36535,010083,True
457,35601,010085,True
349,36608,010090,True
39,36744,010095,True
65,36426,010099,True
162,36532,010100,True
422,35243,010104,True
85,36067,010108,True
99,36732,010112,True
669,36607,010113,True
310,35021,010114,True
214,36701,010118,True
97,36081,010126,True
35,36545,010128,True
78,36507,010129,True
40,35125,010130,True
147,35801,010131,True
263,36608,010144,True
150,36117,010149,True
198,35661,010157,True
100,35653,010158,True
168,35150,010164,True
70,36867,010168,True
49,36502,010169,True
30,35045,010173,True
29,36784,010174,True
115,36854,010175,True
25,36518,011300,True
25,35582,011302,True
25,36904,011304,True
25,35121,011305,True
15,36278,011306,True
22,36607,012006,True
38,35209,012008,True
45,35235,012009,True
35,36302,012010,True
38,36202,012011,True
32,35401,012012,True
31,35611,012014,True
100,35209,013025,True
70,36116,013028,True
70,35811,013029,True
51,36301,013030,True
34,35124,013031,True
44,35903,013032,True
58,36867,013033,True
332,35233,013300,True
94,35212,014000,True
24,36301,014013,True
28,36049,014015,True
0,35233,019800,True
0,35233,019801,True
401,99508,020001,True
74,99645,020006,True
57,99801,020008,True
162,99701,020012,True
250,99508,020017,True
50,99559,020018,True
49,99669,020024,True
11,99686,021301,True
6,99664,021302,True
12,99833,021304,True
8,99929,021305,True
15,99576,021309,True
17,99752,021310,True
25,99901,021311,True
22,99603,021313,True
25,99835,021314,True
59,99503,022001,True
486,85711,030011,True
218,86301,030012,True
262,85020,030014,True
586,85013,030024,True
338,85224,030036,True
219,85006,030037,True
341,85251,030038,True
100,85635,030043,True
235,86401,030055,True
300,85741,030085,True
425,85260,030087,True
204,85027,030092,True
139,86442,030101,True
280,85054,030103,True
146,85755,030114,True
84,86426,030117,True
197,85297,030119,True
178,85209,030121,True
120,85255,030123,True
64,85008,030131,True
16,85339,030136,True
