zip_code,bed_count,ccn,medicare_medicaid_eligible
36301,420,10001,TRUE
35957,240,10005,TRUE
35630,338,10006,TRUE
36467,99,10007,TRUE
36049,65,10008,TRUE
35235,362,10011,TRUE
35968,134,10012,TRUE
35007,252,10016,TRUE
35233,106,10018,TRUE
35660,185,10019,TRUE
36360,89,10021,TRUE
35960,60,10022,TRUE
36116,432,10023,TRUE
36106,344,10024,TRUE
36801,429,10029,TRUE
35233,1157,10033,TRUE
36078,69,10034,TRUE
35058,115,10035,TRUE
36420,88,10036,TRUE
35801,881,10039,TRUE
35903,346,10040,TRUE
35570,57,10044,TRUE
35555,61,10045,TRUE
35901,281,10046,TRUE
36330,131,10049,TRUE
35462,20,10051,TRUE
36853,46,10052,TRUE
36305,235,10055,TRUE
35205,409,10056,TRUE
35042,35,10058,TRUE
35650,98,10059,TRUE
35768,170,10061,TRUE
36340,83,10062,TRUE
35010,81,10065,TRUE
36027,74,10069,TRUE
36251,53,10073,TRUE
36207,323,10078,TRUE
35611,71,10079,TRUE
36535,112,10083,TRUE
35601,457,10085,TRUE
35594,71,10086,TRUE
36617,406,10087,TRUE
35502,267,10089,TRUE
36608,349,10090,TRUE
36451,50,10091,TRUE
35401,787,10092,TRUE
36744,39,10095,TRUE
36092,38,10097,TRUE
36426,65,10099,TRUE
36532,162,10100,TRUE
35161,122,10101,TRUE
36726,30,10102,TRUE
35211,505,10103,TRUE
35243,422,10104,TRUE
36067,85,10108,TRUE
36089,61,10110,TRUE
36732,99,10112,TRUE
36607,669,10113,TRUE
35021,310,10114,TRUE
36701,214,10118,TRUE
36460,94,10120,TRUE
35565,49,10125,TRUE
36081,97,10126,TRUE
36545,35,10128,TRUE
36507,78,10129,TRUE
35125,40,10130,TRUE
35801,147,10131,TRUE
36925,33,10138,TRUE
35209,595,10139,TRUE
36608,263,10144,TRUE
36401,44,10148,TRUE
36117,150,10149,TRUE
35233,479,01014F,FALSE
36037,72,10150,TRUE
35661,198,10157,TRUE
35653,100,10158,TRUE
35150,168,10164,TRUE
36867,70,10168,TRUE
36502,49,10169,TRUE
35045,30,10173,TRUE
36784,29,10174,TRUE
36854,115,10175,TRUE
36608,1,10176,TRUE
36109,285,01019F,FALSE
35404,928,01021F,FALSE
36083,1436,01022F,FALSE
36518,25,11300,TRUE
35582,25,11302,TRUE
36904,25,11304,TRUE
35121,25,11305,TRUE
36278,15,11306,TRUE
36607,22,12006,TRUE
35209,38,12008,TRUE
35235,45,12009,TRUE
36302,35,12010,TRUE
36202,38,12011,TRUE
35401,32,12012,TRUE
35611,31,12014,TRUE
35209,100,13025,TRUE
36116,70,13028,TRUE
35811,70,13029,TRUE
36301,51,13030,TRUE
35124,34,13031,TRUE
35903,44,13032,TRUE
36867,58,13033,TRUE
35233,332,13300,TRUE
36604,152,13301,TRUE
35212,94,14000,TRUE
35902,68,14006,TRUE
35401,268,14007,TRUE
35401,96,14012,TRUE
36301,24,14013,TRUE
36693,60,14014,TRUE
36049,28,14015,TRUE
35055,40,14016,TRUE
36526,66,14017,TRUE
35806,20,14018,TRUE
35233,0,19800,TRUE
35233,0,19801,TRUE
99508,401,20001,TRUE
99645,74,20006,TRUE
99801,57,20008,TRUE
99701,162,20012,TRUE
99508,250,20017,TRUE
99559,50,20018,TRUE
99669,49,20024,TRUE
99508,167,20026,TRUE
99501,381,02003F,FALSE
99504,18,02009F,FALSE
99615,15,02010F,FALSE
99611,0,02011F,FALSE
99702,20,02012F,FALSE
99686,165,02015E,FALSE
99686,11,21301,TRUE
99664,6,21302,TRUE
99833,12,21304,TRUE
99929,8,21305,TRUE
99615,25,21306,TRUE
99574,13,21307,TRUE
99762,21,21308,TRUE
99576,15,21309,TRUE
99752,17,21310,TRUE
99901,25,21311,TRUE
99723,10,21312,TRUE
99603,22,21313,TRUE
99835,25,21314,TRUE
99503,59,22001,TRUE
99508,140,24001,TRUE
99508,95,24002,TRUE
85006,766,30002,TRUE
85712,596,30006,TRUE
86326,98,30007,TRUE
85745,400,30010,TRUE
85711,486,30011,TRUE
86301,218,30012,TRUE
85364,369,30013,TRUE
85020,262,30014,TRUE
85122,141,30016,TRUE
85006,84,03001E,FALSE
85008,758,30022,TRUE
86001,264,30023,TRUE
85013,586,30024,TRUE
85713,197,03002E,FALSE
85015,206,30030,TRUE
85224,338,30036,TRUE
85006,219,30037,TRUE
85251,341,30038,TRUE
85635,100,30043,TRUE
85707,60,03004F,FALSE
86401,235,30055,TRUE
85301,60,03005F,FALSE
85351,434,30061,TRUE
85901,101,30062,TRUE
85719,625,30064,TRUE
85202,595,30065,TRUE
86403,152,30069,TRUE
85224,33,03006F,FALSE
86504,70,30071,TRUE
86045,103,30073,TRUE
85634,32,30074,TRUE
85542,36,30077,TRUE
85016,179,30078,TRUE
85613,92,03007F,FALSE
85032,136,30083,TRUE
86503,10,30084,TRUE
85741,300,30085,TRUE
85260,425,30087,TRUE
85206,359,30088,TRUE
85306,561,30089,TRUE
85027,204,30092,TRUE
85375,394,30093,TRUE
85308,217,30094,TRUE
86442,139,30101,TRUE
85054,280,30103,TRUE
85206,111,30105,TRUE
85206,23,30107,TRUE
85015,32,30108,TRUE
85395,200,30110,TRUE
85713,245,30111,TRUE
85224,24,30112,TRUE
85941,40,30113,TRUE
85755,146,30114,TRUE
85037,317,30115,TRUE
86426,84,30117,TRUE
85297,197,30119,TRUE
85941,52,03011F,FALSE
85209,178,30121,TRUE
85234,177,30122,TRUE
85255,120,30123,TRUE
85012,295,03012F,FALSE
85140,53,30130,TRUE
85008,64,30131,TRUE
85120,20,30134,TRUE
85339,16,30136,TRUE
85338,38,30138,TRUE
85212,50,30139,TRUE
85713,381,03013F,FALSE
85016,1,30143,TRUE
86326,1,30144,TRUE
86001,1,30145,TRUE
85085,70,30146,TRUE
