street_address,phone_number,zip_code,has_501c3,fips_county_code,bed_count,city,state_or_region,name_common,name_legal,ccn,facility_type,medicare_medicaid_eligible,lat,lon,ein
1108 ross clark circle,3347938701,36301,,069,420,dothan,AL,southeast health medical center,,010001,Short Term,true,,,
2505 u s highway 431 north,2565938310,35957,,095,240,boaz,AL,marshall medical centers south campus,,010005,Short Term,true,,,
1701 veterans drive,2567688400,35630,true,077,338,florence,AL,north alabama medical center,,010006,Short Term,true,,,
702 n main st,3344933541,36467,,039,99,opp,AL,mizell memorial hospital,,010007,Short Term,true,,,
101 hospital circle,3343353374,36049,true,041,65,luverne,AL,crenshaw community hospital,,010008,Short Term,true,,,
50 medical park east drive,2058383122,35235,,073,362,birmingham,AL,st vincent's east,,010011,Short Term,true,,,
200 med center drive,2568453150,35968,true,049,134,fort payne,AL,dekalb regional medical center,,010012,Short Term,true,,,
1000 first street north,2056208100,35007,,117,252,alabaster,AL,shelby baptist medical center,,010016,Short Term,true,,,
"1720 university blvd, suite 500",2053258100,35233,,073,106,birmingham,AL,uab callahan eye hospital authority,,010018,Short Term,true,,,
1300 south montgomery avenue,2563864556,35660,,033,185,sheffield,AL,helen keller memorial hospital,,010019,Short Term,true,,,
126 hospital ave,3347742601,36360,,045,89,ozark,AL,dale medical center,,010021,Short Term,true,,,
400 northwood dr,2569275531,35960,,019,60,centre,AL,floyd cherokee medical center,,010022,Short Term,true,,,
2105 east south boulevard,3342882100,36116,,101,432,montgomery,AL,baptist medical center south,,010023,Short Term,true,,,
1725 pine street,3342938000,36106,,101,344,montgomery,AL,jackson hospital & clinic inc,,010024,Short Term,true,,,
2000 pepperell parkway,3347493411,36801,,081,429,opelika,AL,east alabama medical center,,010029,Short Term,true,,,
619 south 19th street,2059344011,35233,true,073,1157,birmingham,AL,university of alabama hospital,,010033,Short Term,true,,,
805 friendship road,3342836541,36078,,051,69,tallassee,AL,community hospital inc,,010034,Short Term,true,,,
1912 alabama highway 157,2567372000,35058,,043,115,cullman,AL,cullman regional medical center,,010035,Short Term,true,,,
849 south three notch street,3342228466,36420,true,039,88,andalusia,AL,andalusia health,,010036,Short Term,true,,,
101 sivley rd,2562651000,35801,,089,881,huntsville,AL,huntsville hospital,,010039,Short Term,true,,,
1007 goodyear avenue,2564944000,35903,true,055,346,gadsden,AL,gadsden regional medical center,,010040,Short Term,true,,,
1256 military street south,2059216200,35570,,093,57,hamilton,AL,marion regional medical center,,010044,Short Term,true,,,
1653 temple avenue north,2059325966,35555,,057,61,fayette,AL,fayette medical center,,010045,Short Term,true,,,
600 south third street,2565435200,35901,true,055,281,gadsden,AL,riverview regional medical center,,010046,Short Term,true,,,
400 n edwards street,3343470584,36330,true,031,131,enterprise,AL,medical center enterprise,,010049,Short Term,true,,,
509 wilson avenue,2053723388,35462,,063,20,eutaw,AL,greene county hospital,,010051,Short Term,true,,,
201 mariarden road,2568257821,36853,true,123,46,dadeville,AL,lake martin community hospital,,010052,Short Term,true,,,
4370 west main street,3347935000,36305,true,069,235,dothan,AL,flowers hospital,,010055,Short Term,true,,,
810 st vincent's drive,2059397000,35205,,073,409,birmingham,AL,st vincent's birmingham,,010056,Short Term,true,,,
208 pierson ave,2059264881,35042,,7,35,centreville,AL,bibb medical center,,010058,Short Term,true,,,
