ccn,state_or_region,reporting_entity_name_common,machine_readable_url
390231,PA,Abington Hospital Jefferson Health,https://use2webtechstgpricelist.blob.core.windows.net/pricelist/Complete%20File/23-1352152%20_JAB001_Abington%20Hospital%20-%20Jefferson%20Health%20_standardcharges.csv
390012,PA,Lansdale Hospital Jefferson Health,https://use2webtechstgpricelist.blob.core.windows.net/pricelist/Complete%20File/26-3359979_JAB002_Abington%20-%20Lansdale%20Hospital%20-%20Jefferson%20Health_standardcharges.csv
399808,PA,The Hospital of the University of Pennsylvania,https://www.pennmedicine.org/-/media/documents%20and%20audio/non%20patient%20instructions/health%20system/hospital%20of%20the%20univ%20of%20pennsylvania_23_1352685_march2021a.ashx
390223,PA,Penn Presbyterian Medical Center,https://www.pennmedicine.org/-/media/documents%20and%20audio/non%20patient%20instructions/health%20system/penn%20presbyterian%20medical%20center_23_2810852_march2021a.ashx
393303,PA,Children's Hospital of Philadelphia,https://media.chop.edu/data/files/finance/23-1352166_ChildrensHospitalofPhiladelphia_standardcharges.csv
390226,PA,Pennsylvania Hospital,https://www.pennmedicine.org/-/media/documents%20and%20audio/non%20patient%20instructions/health%20system/pahosp%20price%20list.ashx
390179,PA,Penn Medicine Chester County Hospital,https://www.pennmedicine.org/-/media/documents%20and%20audio/non%20patient%20instructions/health%20system/chester%20county%20hospital_23_0469150_march2021a.ashx
397013,PA,Penn Medicine Lancaster General Health,https://www.pennmedicine.org/-/media/documents%20and%20audio/non%20patient%20instructions/health%20system/lancaster%20general%20hospital_23_1365353_march2021a.ashx
050112,CA,UCLA Santa Monica Medical Center,https://uclahealth.s3-us-west-1.amazonaws.com/price-transparency/954941687_SantaMonicaUCLAMedicalCenter_StandardChargesjson.zip
050262,CA,UCLA Ronald Reagan Medical Center,https://uclahealth.s3-us-west-1.amazonaws.com/price-transparency/956006143_RonaldReaganUCLAMedicalCenter_StandardChargesjson.zip
054009,CA,UCLA Resnick Neuropsychiatric Hospital,https://uclahealth.s3-us-west-1.amazonaws.com/price-transparency/956006143_ResnickNeuropsychiatricHospital_StandardChargesjson.zip
390026,PA,Chestnut Hill Hospital,https://chestnuthill.towerhealth.org/app/files/public/6a309db7-fe61-4180-8247-c30f6c536d8a/82-2108660_ChestnutHillHospital_StandardCharges2022.csv
390142,PA,Albert Einstein Medical Center,https://www.einstein.edu/upload/docs/231396794-1902805245_albert-einstein-medical-center_standardcharges.xlsx
083300,DE,Nemours Children's Hospital,https://www.nemours.org/content/dam/nemours/nemours-org/en/documents/cms-nch-de-combined.xlsx
310064,NJ,Atlanticare Regional Medical Center,https://www.atlanticare.org/assets/images/eassets/2019finalpricetransparencyforjan1.csv
310014,PA,Cooper University Hospital,https://request.cooperhealth.org/financial/210634462_CooperUniversityHealthCare_standardcharges_update.csv
390180,PA,Crozer-Chester Medical Center,https://goldteamstorage.blob.core.windows.net/hpifilestorage/7927/81-1507712_HPI-Chargemaster_standardcharges.json
310031,NJ,Deborah Heart and Lung Center,https://deborahadmin.com/app/uploads/sites/2/2021/02/231550955_Deborah-Heart-Lung-Center_Standardcharges.xlsx
390081,PA,Delaware County Memorial Hospital,https://goldteamstorage.blob.core.windows.net/hpifilestorage/7928/81-1520273_HPI-Chargemaster_standardcharges.json
390203,PA,Doylestown Hospital,https://www.doylestownhealth.org/-/media/files/doylestown-health/billing/231352174_doylestown_hospital_standard-charges-01012021-(5).csv
390278,PA,Eagleville Hospital,https://www.eagleville.org/assets/CHARGEMASTER2021.csv
390329,PA,Einstein Medical Center Montgomery,https://www.einstein.edu/upload/docs/204193243_einstein-medical-center-montgomery_standardcharges.xlsx
230143,PA,Grand View Hospital,https://goldteamstorage.blob.core.windows.net/hpifilestorage/8290/231352181_HPI-CDM_standardcharges.json
390097,PA,Holy Redeemer Hospital,https://goldteamstorage.blob.core.windows.net/hpifilestorage/8118/231534300_HPI-CDM_standardcharges.json
310069,NJ,Inspira Medical Center Elmer,https://goldteamstorage.blob.core.windows.net/hpifilestorage/8116/210634484_HPI-CDM_standardcharges.json
310032,NJ,Inspira Medical center Vineland,https://goldteamstorage.blob.core.windows.net/hpifilestorage/8116/210634484_HPI-CDM_standardcharges.json
310081,NJ,Inspira Medical Center Woodbury,https://goldteamstorage.blob.core.windows.net/hpifilestorage/8116/210634484_HPI-CDM_standardcharges.json
390027,PA,Temple University Hospital,https://www.templehealth.org/sites/default/files/file/2021-01/tuh-machine-readable-v1.1.xlsx
390174,PA,Thomas Jefferson University Hospital,https://use2webtechstgpricelist.blob.core.windows.net/pricelist/Complete%20File/23-2829095_JCC001_Thomas%20Jefferson%20University%20Hospital_standardcharges.csv
390205,PA,Jefferson Methodist Hospital,https://use2webtechstgpricelist.blob.core.windows.net/pricelist/Complete%20File/23-2829095_JCC002_Jefferson%20Methodist%20Hospital_standardcharges.csv
310029,NJ,Virtua Our Lady of Lourdes Hospital,https://www.virtua.org/-/media/Files/Virtua%20Enterprise/Virtua%20Corporate/Virtua/documents/Hospital%20Charges%20Information/Virtua%20Health%20Standard%20Charges-F.ashx
390070,PA,Lower Bucks Hospital,https://www.lowerbuckshosp.com/460750728_LowerBucksHospital_standardcharges.json
390139,PA,Bryn Mawr Hospital,https://portalapprev.com/ptapp/api/cdm/export/oneclick?recno=cb8acf62d2ccd36a92e54ae6b9a54df0248c1fbf8248643438908bdc4cb40808
390195,PA,Lankenau Medical Center,https://portalapprev.com/ptapp/api/cdm/export/oneclick?recno=cb8acf62d2ccd36a92e54ae6b9a54df0248c1fbf8248643438908bdc4cb40808
390153,PA,Paoli Hospital,https://portalapprev.com/ptapp/api/cdm/export/oneclick?recno=cb8acf62d2ccd36a92e54ae6b9a54df0248c1fbf8248643438908bdc4cb40808
